"Story","Title","Result","Date","Stability","Duration (s)"
"Search","(SC01) Customer can find the product by name.","SUCCESS","2015-06-26T12:14:59.841Z","0.0","55.68"
"Login","(SC01) Customer can log in to his account.","SUCCESS","2015-06-26T12:15:56.040Z","0.0","41.73"
