"Story","Title","Result","Date","Stability","Duration (s)"
"Search","(SC01) Customer can find the product by name.","SUCCESS","2015-07-06T11:22:34.996Z","0.0","53.34"
"Login","(SC01) Customer can log in to his account.","SUCCESS","2015-07-06T11:23:28.756Z","0.0","36.15"
