"Story","Title","Result","Date","Stability","Duration (s)"
"Search","(SC01) Customer can find the product by name.","ERROR","2015-06-26T12:14:19.219Z","0.0","0.27"
"Login","(SC01) Customer can log in to his account.","ERROR","2015-06-26T12:14:19.648Z","0.0","0.07"
